"Customweb_UnzerCw::!label (Live)","!label (Live)"
"Customweb_UnzerCw::My Unzer Aliases","Meine Unzer Aliasse"
"Customweb_UnzerCw::Narrow (label from shop)","Schmale Elemente (Labels vom Shop)"
"Customweb_UnzerCw::New Order","Neue Bestellung"
"Customweb_UnzerCw::New Order Status","Neuer Bestellstatus"
"Customweb_UnzerCw::New card","Neue Karte"
"Customweb_UnzerCw::Next Update Execution Date","Nächstes Ausführungsdatum für Updates"
"Customweb_UnzerCw::No","Nein"
"Customweb_UnzerCw::No Items","Keine Artikel"
"Customweb_UnzerCw::No additional payment information available.","Keine zusätzliche Zahlungsinformationen verfügbar"
"Customweb_UnzerCw::No authorization method found for payment method !method.","Es konnte keine Autorisierungsmethode für die Zahlmethode '!method' gefunden werden."
"Customweb_UnzerCw::No button returned.","Kein Knopf erhalten."
"Customweb_UnzerCw::No refund possible.","Keine Rückvergütung möglich"
"Customweb_UnzerCw::No shipping method needed.","Keine Versandmethode benötigt."
"Customweb_UnzerCw::No, use the dropdown.","Dropdown-Menü benutzen"
"Customweb_UnzerCw::Only an authorized transaction can be marked as finally declined.","Nur autorisierte Transaktionen können als endgültig abgelehnt markiert werden."
"Customweb_UnzerCw::Only an uncertain transaction can be marked as finally declined.","Nur unsichere Transaktionen können als endgültig abgelehnt markiert werden."
"Customweb_UnzerCw::Only authorized transaction can be cancelled.","Nur autorisierte Transaktionen können storniert werden."
"Customweb_UnzerCw::Only authorized transaction can be captured.","Nur autorisierte Transaktionen können verbucht werden."
"Customweb_UnzerCw::Only authorized transaction can be refunded.","Nur autorsierte Transaktionen können gutgeschrieben werden."
"Customweb_UnzerCw::Only captured transaction can be refunded.","Nur gebuchte Transaktionen können gutgeschrieben werden."
"Customweb_UnzerCw::Only on captured transaction the flag customer refusing to pay can be set.","Nur bei bereits verbuchten Transaktionen kann ein Flag zur Markierung von Kunden, die nicht bezahlt haben, gesetzt werden."
"Customweb_UnzerCw::Operation Mode","Betriebsmodus"
"Customweb_UnzerCw::Operation mode of the shop.","Dies ist der Betriebsmodus des Shops."
"Customweb_UnzerCw::Order #","Bestellnummer"
"Customweb_UnzerCw::Order Grand Total","Gesamtsumme der Bestellung"
"Customweb_UnzerCw::Order Information","Bestellungsinformation"
"Customweb_UnzerCw::Order Prefix","Bestell-Präfix"
"Customweb_UnzerCw::Order Review","Bestellungsüberprüfung"
"Customweb_UnzerCw::Order Summary","Bestellzusammenfassung"
"Customweb_UnzerCw::Order Total","Bestelltotal"
"Customweb_UnzerCw::Order cancelled, because the customer was too long in the payment process of Unzer.","Bestellung wurde abgebrochen, da der Kunde sich zu lange im Zahlungsprozess von Unzer befand."
"Customweb_UnzerCw::Order was placed using %s","Order was placed using %s"
"Customweb_UnzerCw::OrderId Schema","OrderId Schema"
"Customweb_UnzerCw::Orders","Bestellungen"
"Customweb_UnzerCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Bestellungen, deren Zahlungen länger ausstehend bleiben als das definierte Timeout in Minuten, werden automatisch abgebrochen. Um dieses Feature benutzen zu können, müssen Sie Magento Cron aufsetzen."
"Customweb_UnzerCw::Paid Amount","Bezahlter Betrag"
"Customweb_UnzerCw::Partial refund not possible. You may retry with the total transaction amount.","Teilrückzahlung nicht möglich. Die Summe ist grösser als der verbuchte Gesamtbetrag."
"Customweb_UnzerCw::Password","Passwort"
"Customweb_UnzerCw::Password and password confirmation are not equal.","""Passwort"" und ""Passwort bestätigen"" stimmen nicht überein."
"Customweb_UnzerCw::Pay with ____paymentMethodName____","Zahlen mit ____paymentMethodName____"
"Customweb_UnzerCw::Payment","Zahlung"
"Customweb_UnzerCw::Payment Failed","Zahlung fehlgeschlagen"
"Customweb_UnzerCw::Payment ID","Zahlungs-ID"
"Customweb_UnzerCw::Payment Id","Payment ID"
"Customweb_UnzerCw::Payment Information","Zahlungsinformationen"
"Customweb_UnzerCw::Payment Method","Zahlungsmethode"
"Customweb_UnzerCw::Payment captured successfully.","Die Zahlung wurde erfolgreich vebucht."
"Customweb_UnzerCw::Payment could not be authorized. Cancelling order. Reason : ","Die Zahlung konnte nicht autorisiert werden. Bestellung wird abgebrochen. Grund:"
"Customweb_UnzerCw::Payment details can be entered after placing the order","Die Zahlungsinformationen können eingegeben werden, nachdem die Bestellung bestätigt wurde."
"Customweb_UnzerCw::Payment from Applicable Countries","Zahlung von zutreffenden Ländern"
"Customweb_UnzerCw::Payment from Specific Countries","Zahlung von spezifischen Ländern"
"Customweb_UnzerCw::Payment from applicable countries","Zahlung von zutreffenden Ländern"
"Customweb_UnzerCw::Payment from specific countries","Zahlung von spezifischen Ländern"
"Customweb_UnzerCw::Payment is pending at UnzerCw","Zahlung ist bei UnzerCw ausstehend"
"Customweb_UnzerCw::Payment method description","Beschreibung der Zahlungsmethode"
"Customweb_UnzerCw::Payment with %s","Zahlung mit %s"
"Customweb_UnzerCw::Payment with Unzer","Zahlung mit Unzer"
"Customweb_UnzerCw::PaymentReference Schema","PaymentReference Schema"
"Customweb_UnzerCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Mit der Aktivierung dieser Option wird periodisch der Status der Zahlung via API Interface abgefragt. Um das Feature zu nutzen, muss der Magento Cron aktiviert sein."
"Customweb_UnzerCw::Pending","Ausstehend"
"Customweb_UnzerCw::Pending UnzerCw","Ausstehend  UnzerCw"
"Customweb_UnzerCw::Place Order","Rechtsverbindlich bestellen"
"Customweb_UnzerCw::Please agree to all the terms and conditions before placing the order.","Bitte stimmen Sie vor dem Platzieren der Bestellung den allgemeinen Geschäftsbedingungen zu."
"Customweb_UnzerCw::Please check the entered CVC number.","Bitte überprüfen Sie den eingegebenen CVC."
"Customweb_UnzerCw::Please check the entered credit card number.","Bitte geben Sie eine Kreditkartennummer ein."
"Customweb_UnzerCw::Please check your inputs to ensure all company required fields are present.","Bitte stellen Sie sicher, dass alle Eingaben für die Firmenangaben vorhanden sind."
"Customweb_UnzerCw::Please enter here the Bank Identifier Code (BIC).","Bitte tragen Sie hier einen BIC ein (Bank identifier Code)."
"Customweb_UnzerCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Bitte geben Sie hier den CVC Ihrer Karte ein. Sie finden diesen auf der Rückseite Ihrer Kreditkarte."
"Customweb_UnzerCw::Please enter here the International Bank Account Number (IBAN).","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Customweb_UnzerCw::Please enter here the account holder name on the card.","Bitte geben Sie den Kontoinhaber an."
"Customweb_UnzerCw::Please enter here the account holder name.","Bitte tragen Sie hier den Kontoinhaber ein."
"Customweb_UnzerCw::Please enter here the account number of your bank account.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Customweb_UnzerCw::Please enter here the bank code of your bank.","Bitte geben Sie den Bankcode Ihrer Bank ein."
"Customweb_UnzerCw::Please enter here the card holder name on the card.","Bitte geben Sie den Karteninhaber auf Ihrer Kreditkarte ein."
"Customweb_UnzerCw::Please enter here the commercial number of your company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"Customweb_UnzerCw::Please enter here the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"Customweb_UnzerCw::Please enter here the number on your card.","Bitte geben Sie hier die Kartennummer Ihrer Kreditkarte ein."
"Customweb_UnzerCw::Please enter here the sales tax number of your company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"Customweb_UnzerCw::Please enter here your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"Customweb_UnzerCw::Please enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"Customweb_UnzerCw::Please enter the name of your bank.","Bitte geben Sie hier den Namen Ihrer Bank ein."
"Customweb_UnzerCw::Please enter your IBAN number.","Bitte geben Sie Ihre IBAN ein."
"Customweb_UnzerCw::Please enter your issue number, if there is no CVC code on your card.","Bitte geben Sie die Ausgabenummer von Ihrer Karte ein, falls Sie keinen CVC auf Ihrer Karte haben."
"Customweb_UnzerCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte deaktivieren Sie Cache und versuchen Sie es erneut. Sollte dies nicht helfen, ändern Sie die Autorisationsmethode zu PaymentPage und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>."
"Customweb_UnzerCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Bitte leeren oder deaktivieren Sie den Cache-Speicher und versuchen Sie es erneut. Falls dies nicht hilft, ändern Sie die Autorisationsmethode zu Payment Page und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>.', 'http://www.sellxed.com/en/support"
"Customweb_UnzerCw::Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte entleeren oder deaktivieren Sie Ihren Cache und versuchen Sie es erneut. Falls es immer noch nicht klappt, ändern Sie die Autorisierungsmethode zu PaymentPage und kontaktieren Sie <a href=""%s"" target=""_blank"">sellxed</a>."
"Customweb_UnzerCw::Please log in below:","Bitte loggen Sie sich ein:"
"Customweb_UnzerCw::Please pay the amount of !amount using the following bank data:<br/><b>Descriptor:</b> !descriptor<br/><b>Account Holder:</b> !holder<br/><b>IBAN:</b> !iban<br/><b>BIC:</b> !bic<br/>","Bitte zahlen Sie den Betrag !amount mit folgenden Daten:<br/><b>Beschreibung:</b> !descriptor<br/><b>Kontoinhaber:</b> !holder<br/><b>IBAN:</b> !iban<br/><b>BIC:</b> !bic<br/>"
"Customweb_UnzerCw::Please select","-- Bitte wählen --"
"Customweb_UnzerCw::Please select a shipping method before sending the order.","Bitte wählen Sie vor dem Übermitteln der Bestellung eine Versandmethode aus."
"Customweb_UnzerCw::Please select the Bank Identifier Code (BIC) of your bank.","Wählen Sie einen BIC (Bank Identifier Code) Ihrer Bank."
"Customweb_UnzerCw::Please select the day of your birth.","Bitte wählen Sie den Tag Ihrer Geburt aus."
"Customweb_UnzerCw::Please select the expiry month on your card.","Bitte wählen Sie den Monat des Ablaufdatums auf Ihrer Kreditkarte aus."
"Customweb_UnzerCw::Please select the expiry year on your card.","Bitte geben Sie das Ablaufdatum der Karte ein."
"Customweb_UnzerCw::Please select the month of your birth.","Bitte wählen Sie den Monat Ihrer Geburt aus."
"Customweb_UnzerCw::Please select the the year of your birth.","Bitte wählen Sie das Jahr Ihrer Geburt aus."
"Customweb_UnzerCw::Please wait, processing your order...","Bitte warten, während die Bestellung verarbeitet wird..."
"Customweb_UnzerCw::Price","Preis"
"Customweb_UnzerCw::Private Key","Privater Schlüssel"
"Customweb_UnzerCw::Private Key (Live)","Privater Schlüssel (Live)"
"Customweb_UnzerCw::Private Key (Test)","Privater Schlüssel  (Test)"
"Customweb_UnzerCw::Private Key for live requests, provided by Unzer.","Dies ist der private live Schlüssel, der durch Unzer zur Verfügung gestellt wird."
"Customweb_UnzerCw::Private Key for test requests, provided by Unzer.","Dies ist der private test Schlüssel, der durch Unzer zur Verfügung gestellt wird."
"Customweb_UnzerCw::Processed partial cancel on authorize for amount @amount with id @id.","Teilstornierung auf authorisierung für Betrag @amount mit id @id."
"Customweb_UnzerCw::Processing metadata failed","Metadata-Verarbeitung fehlgeschlagen"
"Customweb_UnzerCw::Processing shipment failed","Verarbeitung der Lieferung schlugfehls"
"Customweb_UnzerCw::Processing type failed","Verarbeitungstyp fehlgeschlagen"
"Customweb_UnzerCw::Product","Produkt"
"Customweb_UnzerCw::Product Name","Produktname"
"Customweb_UnzerCw::Public Key","Öffentlicher Schlüssel"
"Customweb_UnzerCw::Public Key (Live)","Öffentlicher Schlüssel (Live)"
"Customweb_UnzerCw::Public Key (Test)","Öffentlicher Schlüssel (Test)"
"Customweb_UnzerCw::Public Key for live requests, provided by Unzer.","Dies ist der öffentliche live Schlüssel, der durch Unzer zur Verfügung gestellt wird."
"Customweb_UnzerCw::Public Key for test requests, provided by Unzer.","Dies ist der öffentliche test Schlüssel, der durch Unzer zur Verfügung gestellt wird."
"Customweb_UnzerCw::Purchase Point","Einkaufsort"
"Customweb_UnzerCw::Qty","Anzahl"
"Customweb_UnzerCw::Recurring Payments","Abo Zahlungen"
"Customweb_UnzerCw::Refund Amount","Rückerstattungsbetrag"
"Customweb_UnzerCw::Refund ID","Rückvergütungs ID"
"Customweb_UnzerCw::Refund amount","Rückerstattungsbetrag"
"Customweb_UnzerCw::Refund could not be completely processed, rest amount open: @amount","Die Gutschrift konnte nicht komplett verarbeitet werden. Der verbleibende Betrag ist: @amount"
"Customweb_UnzerCw::Refund information","Informationen zur Gutschrift"
"Customweb_UnzerCw::Refund status","Gutschriftsstatus"
"Customweb_UnzerCw::Refunded Amount","Rückerstattungsbetrag"
"Customweb_UnzerCw::Refunded amount (@refunded) does not equal canceled amount (@canceled). Please check in your Unzer backend.","Der gutgeschriebene Betrag von @refunded stimmt nicht mit dem aufgehobener Betrag von @canceled überein. Bitte prüfen Sie dies im Unzer Backend."
"Customweb_UnzerCw::Refunds","Gutschrift"
"Customweb_UnzerCw::Register","Registireren"
"Customweb_UnzerCw::Register to Create an Account","Registrieren, um ein Benutzerkonto zu erstellen"
"Customweb_UnzerCw::Register with us for future convenience:","Registrieren Sie sich bei uns für zukünftigen Komfort:"
"Customweb_UnzerCw::Release Date","Erscheinungsdatum"
"Customweb_UnzerCw::Request was succesfull, but no recurring alias could be created.","Die Anfrage war erfolgreich, aber kein Alias für wiederkehrende Zahlungen konnte erzeugt werden."
"Customweb_UnzerCw::Rest has been cancelled.","Der Rest wurde storniert."
"Customweb_UnzerCw::Review","Übersicht"
"Customweb_UnzerCw::Rounding Adjustment","Rundungskorrekturen"
"Customweb_UnzerCw::Row Total","Zeilensumme"
"Customweb_UnzerCw::SEPA Mandate ID","SEPA Mandats ID"
"Customweb_UnzerCw::SKU:","SKU:"
"Customweb_UnzerCw::Sales","Verkäufe"
"Customweb_UnzerCw::Sales Tax Number","Steuer Nummer"
"Customweb_UnzerCw::Salutation","Anrede"
"Customweb_UnzerCw::Save","Speichern"
"Customweb_UnzerCw::Saved cards:","Gespeicherte Karten:"
"Customweb_UnzerCw::See order and shipping status","Bestell- und Versandstatus ansehen"
"Customweb_UnzerCw::Select Brand","Wählen Sie den Kartentyp aus."
"Customweb_UnzerCw::Select Method","Methode auswählen"
"Customweb_UnzerCw::Select plan","Plan auswählen"
"Customweb_UnzerCw::Select the authorization method to use for processing this payment method.","Wählen Sie bitte die Autorisierungsmethode für diese Zahlweise. (Bitte beachten Sie, dass die Hidden Autorisierung für Kreditkarten (sofern vorhanden) zusätzliche Zertifizerungsanforderungen mit sich bringt SAQ-A-EP. Für weitere Informationen kontkatieren Sie bitte Unzer)."
"Customweb_UnzerCw::Select the date of your birth.","Wählen Sie Ihr Geburtsdatum."
"Customweb_UnzerCw::Select the date on which your card expires.","Wählen Sie das Kartenablaufdatum."
"Customweb_UnzerCw::Sellxed On Hold","Sellxed In Wartestellung"
"Customweb_UnzerCw::Send Basket","Warenkorb übermitteln"
"Customweb_UnzerCw::Send Customer","Kunde übermitteln"
"Customweb_UnzerCw::Send Invoice Email","Rechnungs-E-Mail senden"
"Customweb_UnzerCw::Send amounts to Unzer in base currency.","Den Betrag an Unzer  in der Standard Währung setteln"
"Customweb_UnzerCw::Send amounts to Unzer in store's base currency.","Beträge in der Basiswährung des Shops an Unzer senden."
"Customweb_UnzerCw::Send invoice email","Rechnungsmail versenden"
"Customweb_UnzerCw::Send the invoice email automatically after invoice creation.","Soll das Rechnungsemail direkt nach dem Erstellen der Rechnung versendet werden?"
"Customweb_UnzerCw::Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Wenn Sie 'Direkte Buchung' wählen, wird die Autorisierung direkt von der Kredit Karte des Kunden abgebucht. Bei 'Verzögerte Buchung' wird der Betrag verzögert zu einem von Ihnen definierten Zeitpunkt verbucht."
"Customweb_UnzerCw::Set the sort order to show the external checkouts.","Legen Sie die Reihenfolge fest, in der externe Checkouts angezeigt werden sollen."
"Customweb_UnzerCw::Settlement after order","Erstellung nach der Bestellung"
"Customweb_UnzerCw::Setup","Setup"
"Customweb_UnzerCw::Shipment created over @amount.","Lieferung erstellt für @amount."
"Customweb_UnzerCw::Shipment request has been processed.","Die Lieferungsanfrage wurde verarbeitet."
"Customweb_UnzerCw::Shipping & Handling","Shipping & Handling"
"Customweb_UnzerCw::Shipping Address","Lieferadresse"
"Customweb_UnzerCw::Shipping Amount","Lieferkosten"
"Customweb_UnzerCw::Shipping Information","Versandinformationen"
"Customweb_UnzerCw::Shipping Method","Versandmethode"
"Customweb_UnzerCw::Shipping Methods","Versandmethoden"
"Customweb_UnzerCw::Shipping Refund","Rückerstattung der Lieferkosten"
"Customweb_UnzerCw::Shop","Shop"
"Customweb_UnzerCw::Short Installation Instructions:","Kurzanleitung für die Installation:"
"Customweb_UnzerCw::Should customer data be transmitted to Unzer? This slightly increases the processing time due to an additional request, but may allow e.g. saving the payment method to the customer.","Sollen die Kundendaten übermittelt werden an Unzer? Dies erhöht die Verarbeitungszeit, da zusätzliche Anfragen ausgeführt werden müssen. Auf der anderen Seite ist es möglich allenfalls die Zahlungsdaten zu speichern."
"Customweb_UnzerCw::Should the amount be captured automatically after the order (Direct Charge) or should the amount only be reserved (Authorize)?","Sollte der Betrag direkt verbucht werden (Direct Charge), oder sollte der Betag nur reserviert werden (Authorize)?"
"Customweb_UnzerCw::Should the amount be captured automatically after the order (Direkte Belastung) or should the amount only be reserved (Authorize)?","Sollte der Betrag automatisch verbucht werden nach der ausführung der Zahlung (Direct Charge) oder soll der Betrag nur reserviert werden?"
"Customweb_UnzerCw::Should the invoice items be transmitted to Unzer? This slightly increases the processing time due to an additional request, and may cause issues for certain quantity / price combinations.","Sollen die Rechnungspositionen an Unzer übermittelt werden? Dies kann die Verarbeitungszeit erhöhen und bestimmte Preiskombination können allenfalls nicht verabeitet werden."
"Customweb_UnzerCw::Show","Anzeigen"
"Customweb_UnzerCw::Show Account Selection","Account-Auswahl anzeigen"
"Customweb_UnzerCw::Show Further Settings and Information","Weitere Einstellungen und Informationen zeigen"
"Customweb_UnzerCw::Show Image","Bild anzeigen"
"Customweb_UnzerCw::Show Payment Id","Payment ID anzeigen"
"Customweb_UnzerCw::Show the payment id","Anzeigen der Zahlungs ID"
"Customweb_UnzerCw::Show the payment id in the order information","Zahlungs ID in der Bestellinformation anzeigen"
"Customweb_UnzerCw::Show the payment image","Anzeigen der Zahlungslogos"
"Customweb_UnzerCw::Show the payment image on the checkout page","Zahlungslogos im Checkout anzeigen"
"Customweb_UnzerCw::Sign In","Anmelden"
"Customweb_UnzerCw::Social Security Number","Sozialversicherungsnummer"
"Customweb_UnzerCw::Sort Order","Sortierreihenfolgen"
"Customweb_UnzerCw::Status","Status"
"Customweb_UnzerCw::Store the payment details","Speichere Zahlungsdaten"
"Customweb_UnzerCw::Stored payment details","Gespeicherte Zahlungsdetails"
"Customweb_UnzerCw::Submit Order","Bestellung absenden"
"Customweb_UnzerCw::Submitting order information...","Bestellungsinformation übermitteln..."
"Customweb_UnzerCw::Subtotal","Zwischensumme"
"Customweb_UnzerCw::Success","Erfolgreich"
"Customweb_UnzerCw::Successful","Erfolgreich"
"Customweb_UnzerCw::Successful online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Customweb_UnzerCw::Successful payment authorization.","Die Zahlung wurde erfolgreich autorisiert."
"Customweb_UnzerCw::Successfull online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Customweb_UnzerCw::Support","Support"
"Customweb_UnzerCw::Tax Amount","Steuerbetrag"
"Customweb_UnzerCw::Technical issue: This payment methods is not available at the moment.","Technisches Problem: Diese Zahlungsmethode ist zur Zeit nicht verfügbar."
"Customweb_UnzerCw::Test","Test"
"Customweb_UnzerCw::Test Mode","Test Modus"
"Customweb_UnzerCw::Test Transaction","Testtransaktion"
"Customweb_UnzerCw::The HMAC key as defined in the live backoffice of Unzer. You may need generate the HMAC key. Please take a look at the manual how to do this.","Der HMAC Key ist im Live Backoffice von Unzer angegeben. Eventuell müssen Sie den HMAC Key noch generieren. Eine Anleitung dazu finden Sie im Manual."
"Customweb_UnzerCw::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Das SEPA Mandat Scheme enthält leider nich die Bezeichnung '!tag'. Diese Bezeichnung ist aber Pflicht."
"Customweb_UnzerCw::The alias could not be found.","Der Alias konnte nicht gefunden werden."
"Customweb_UnzerCw::The alias has been deleted.","Der Alias wurde gelöscht"
"Customweb_UnzerCw::The alias transaction could not be conductet with error code: !code, and reason: !reason:","Die Alias Transaktion konnte nicht durchgeführt werden. Fehlermeldung: !code und Grund: !reason."
"Customweb_UnzerCw::The amount could not be verified.","Der Betrag konnte nicht verifiziert werden."
"Customweb_UnzerCw::The amount of !amount is authorized.","Der Betrag von '!amount' wurde autorisiert."
"Customweb_UnzerCw::The amount of !amount is captured.","Der Betrag von !amount ist verbucht."
"Customweb_UnzerCw::The authorization method '!method' is not supported.","Die Autorisierungsmethode '!method' ist nicht unterstützt."
"Customweb_UnzerCw::The authorization was not successful","Autorisierungsfehler. Die Autorisierung war nicht erfolgreich."
"Customweb_UnzerCw::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Der Kreditkartenanbieter wird anhand der Kartennummer falls Hidden Authorization benutzt wird. Wird die Zahlungsseite (Payment Page) benutzt, muss der Nutzer den Anbieter manuell auswählen. Über diese Einstellung können auch die akzeptierten Kreditkartenanbieter eingeschränkt werden."
"Customweb_UnzerCw::The brand with external name '!key' was not present in the map.","Der Kreditkartenbrand mit dem Namen '!key' konnte nicht zugeordnet werden."
"Customweb_UnzerCw::The brand with key '!key' was not found in the card information map.","Der Kreditkarten Brand mit dem '!key' wurde nicht gefunden in der Karteninformationsmap."
"Customweb_UnzerCw::The cancellation could not be conducted. Error code: !error.","Die Stornierung konnte nicht durchgeführt werden. Fehlercode: !error."
"Customweb_UnzerCw::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","Der Verbuchungsbetrag von '!captureAmount' kann nicht grösser sein als der autorisierte Betrag von '!authorizedAmount'."
"Customweb_UnzerCw::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der verbuchte Artikel mit der Bestandseinheit @sku hat einen höheren Wert (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
"Customweb_UnzerCw::The capture item with SKU '@sku' is not present in the original order.","Der verbuchte Artikel mit der Bestandseinheit @sku ist in der ursprünglichen Bestellung nicht vorhanden."
"Customweb_UnzerCw::The capturing could not be conducted. Error code: !error.","Die Verbuchung konnte nicht durchgeführt werden. Fehlercode: !error."
"Customweb_UnzerCw::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","Die Auswahl des Kartenanbieters wird abhängig von der eingegebenen Kartennummer automatisch durchgeführt. Falls JavaScript im Browser nicht aktiviert ist, wird ein Dropdown-Menü angezeigt. Ist JavaScript aktiv, können die Logos der Anbieter gezeigt werden, sofern die Image Brand Selection aktiviert ist."
"Customweb_UnzerCw::The configuration has been saved.","Die Konfiguration wurde gespeichert."
"Customweb_UnzerCw::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","Die Controller Class '@controller' bietet keine Methode mit der Beschriftung 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' und gültigem Output."
"Customweb_UnzerCw::The customer does not finish the payment with in the timeout.","Der Kunde hat die Zahlung nicht innerhalb des Timeouts abgeschlossen."
"Customweb_UnzerCw::The date of birth is required.","Das Geburtsdatum muss angegeben werden."
"Customweb_UnzerCw::The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","Das Ablaufdatumsformat ist '!format', wobei 'MM' für den Monat steht und 'YY' für das Jahr."
"Customweb_UnzerCw::The gender is required.","Geschlecht muss angegeben werden."
"Customweb_UnzerCw::The given CVC code has the wrong length.","Der angegebene CVC Code hat eine ungültige Länge."
"Customweb_UnzerCw::The given card number has an invalid check sum.","Die angegebene Kartennummer hat eine ungültige Check Summe."
"Customweb_UnzerCw::The given card number has an invalid length.","Die angegebene Kartennummer hat eine ungültige Länge."
"Customweb_UnzerCw::The given hmac key is empty.","Der HMAC Key ist ungültig."
"Customweb_UnzerCw::The given identifier is empty.","Der Identifier ist ungültig."
"Customweb_UnzerCw::The given password is empty.","Das Passwort ist ungültig."
"Customweb_UnzerCw::The given rang is empty. It must be a nummeric value with length of two.","Der gegebene Rang ist leer. Er muss eine zweistellige Nummer sein."
"Customweb_UnzerCw::The given rang is invalid. It must be a nummeric value with length of two.","Der gegebene Rang ist ungültig. Er muss eine zweistellige Nummer sein."
"Customweb_UnzerCw::The given site number is empty.","Es wurde keine Seitenzahl angegeben."
"Customweb_UnzerCw::The identifier as defined in the backoffice of Unzer.","Der Identifier, wie er im Unzer Backoffice angegeben ist."
"Customweb_UnzerCw::The interest rate in percent that you enter here will be applied onto the instalment. The rate must be above the amount that you have agreed up on with Unzer.","Der angegebene Zinssatz (in Prozent) wird auf die Ratenzahlung angewendet. Dieser musst grösser sein, als der Zinssatz, welcher mit Unzer vereinbart wurde."
"Customweb_UnzerCw::The invoice could not be captured and processed by","Die Rechung konnte bei Unzer nicht gebucht und verarbeitet werden"
"Customweb_UnzerCw::The invoice could not be captured and processed. Reason:","Die Rechnung konnte nicht verbucht und verarbeitet werden. Grund: !reason."
"Customweb_UnzerCw::The invoice could not be found.","Die Rechung konnte nicht gefunden werden."
"Customweb_UnzerCw::The invoice has been changed.","Die Rechnung wurde geändert."
"Customweb_UnzerCw::The invoice no longer exists.","Die Rechnung existiert nicht mehr."
"Customweb_UnzerCw::The layout does not contain the tag '!layout_tag'.","Das Layout enhält nicht den Tag '!layout_tag'."
"Customweb_UnzerCw::The next update execution date indicates when the next cron is run to update the transaction state.","Das nächste Ausführungsdatum für upades zeigt Ihnen an, wann der nächste cron für das Update des Transaktionsstatus läuft."
"Customweb_UnzerCw::The order is not fully completed. Please contact the store owner.","Die Zahlung konnte nicht durchgeführt werden."
"Customweb_UnzerCw::The payment form will be displayed after submitting the order.","Das Bezahlformular wird nach dem Absenden der Bestellung angezeigt."
"Customweb_UnzerCw::The payment has been accepted.","Die Zahlung wurde akzeptiert"
"Customweb_UnzerCw::The payment has been denied.","Die Zahlung wurde abgelehnt."
"Customweb_UnzerCw::The payment method !paymentMethodName does not support the currency '!currency'.","Die Zahlweise '!paymentMethodName' unterstützt die Währung '!currency' nicht."
"Customweb_UnzerCw::The payment method !paymentMethodName is not available in your country ('!country').","Die Zahlungsmethode '!paymentMethodName' ist in Ihrem Land ('!country') nicht verfügbar."
"Customweb_UnzerCw::The payment update has been made.","Das Zahlungsupdate wurde ausgeführt."
"Customweb_UnzerCw::The provided signature does not match with the one calculated.","Die eingegeben Signatur stimmt nicht mit der berechneten Signatur überein."
"Customweb_UnzerCw::The rang (PBX_RANG) as defined in the live backoffice of Unzer. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","Der Rang (PBX_RANG), wie er im Live Backoffice von Unzer_ angegeben ist. Er muss eine zweistellige Nummer sein. Im Backoffice wird er eventuell als dreistelliger Wert angezeigt. Sie müssen die erste Ziffer streichen."
"Customweb_UnzerCw::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der zurückerstattete Artikel mit der Bestandseinheit @sku hat einen höheren Betrag (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
