"Customweb_UnzerCw::!label (Live)","!label (Live)"
"Customweb_UnzerCw::Payment Method","Forma de pago"
"Customweb_UnzerCw::Payment captured successfully.","Pago capturado con éxito."
"Customweb_UnzerCw::Payment could not be authorized. Cancelling order. Reason : ","El pago no fue autorizado. El pedido será cancelado. Razón:"
"Customweb_UnzerCw::Payment details can be entered after placing the order","Detalles del pago se pueden introducir a partir del pedido"
"Customweb_UnzerCw::Payment from Applicable Countries","Payment from Applicable Countries"
"Customweb_UnzerCw::Payment from Specific Countries","Payment from Specific Countries"
"Customweb_UnzerCw::Payment from applicable countries","Pago de países aplicables"
"Customweb_UnzerCw::Payment from specific countries","Pago de países específicos"
"Customweb_UnzerCw::Payment is pending at UnzerCw","Pago está pendiente con UnzerCw"
"Customweb_UnzerCw::Payment method description","Descripción de la forma de pago"
"Customweb_UnzerCw::Payment with %s","Pago con %s"
"Customweb_UnzerCw::Payment with Unzer","Pago con Unzer"
"Customweb_UnzerCw::PaymentReference Schema","PaymentReference Schema"
"Customweb_UnzerCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Los pagos se pueden actualizar de forma automática (intervalo en minutos) via API (sie está activado). Para utilizar la función, el Magento Cron debe estar activado."
"Customweb_UnzerCw::Pending","Pendiente"
"Customweb_UnzerCw::Pending UnzerCw","Pending UnzerCw"
"Customweb_UnzerCw::Place Order","Place Order"
"Customweb_UnzerCw::Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Customweb_UnzerCw::Please check the entered CVC number.","Por favor, compruebe el número de CVC introducido."
"Customweb_UnzerCw::Please check the entered credit card number.","Por favor, compruebe el número de la tarjeta de crédito introducida."
"Customweb_UnzerCw::Please check your inputs to ensure all company required fields are present.","Please check your inputs to ensure all company required fields are present."
"Customweb_UnzerCw::Please enter here the Bank Identifier Code (BIC).","Por favor introduzca el Código de identificación bancaria (BIC)."
"Customweb_UnzerCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Por favor, introduzca la CVC su tarjeta. Usted puede encontrar esto en la parte de atrás de su tarjeta de crédito."
"Customweb_UnzerCw::Please enter here the International Bank Account Number (IBAN).","Por favor introduzca el Número de Cuenta Bancaria Internacional (IBAN)."
"Customweb_UnzerCw::Please enter here the account holder name on the card.","Por favor introduzca el nombre titular de la cuenta de la tarjeta."
"Customweb_UnzerCw::Please enter here the account holder name.","Escriba aquí el nombre del titular."
"Customweb_UnzerCw::Please enter here the account number of your bank account.","Introduce el número de cuenta de tu cuenta bancaria."
"Customweb_UnzerCw::Please enter here the bank code of your bank.","Por favor, introduzca su código bancario."
"Customweb_UnzerCw::Please enter here the card holder name on the card.","Por favor indique el titular de la tarjeta a su tarjeta de crédito."
"Customweb_UnzerCw::Please enter here the commercial number of your company.","Por favor introduzca el número comercial de su empresa."
"Customweb_UnzerCw::Please enter here the name of the account owner.","Por favor, introduzca el nombre del titular de la cuenta bancaria"
"Customweb_UnzerCw::Please enter here the number on your card.","Por favor, introduzca su número de tarjeta"
"Customweb_UnzerCw::Please enter here the sales tax number of your company.","Por favor, introduzca aquí el número de impuesto sobre las ventas de su empresa."
"Customweb_UnzerCw::Please enter here your social security number.","Por favor, introduzca aquí su número de seguro social."
"Customweb_UnzerCw::Please enter the location of your bank.","Por favor, introduzca la ubicación de su banco."
"Customweb_UnzerCw::Please enter the name of your bank.","Por favor escriba el nombre de su banco."
"Customweb_UnzerCw::Please enter your IBAN number.","Por favor, introduzca su número de IBAN."
"Customweb_UnzerCw::Please enter your issue number, if there is no CVC code on your card.","Por favor, introduzca su número de emisión, si no existe un código CVC de su tarjeta."
"Customweb_UnzerCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_UnzerCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Por favor, parpadear o desactivar el almacenamiento de caché y vuelva a intentarlo. Si esto no ayuda, cambie el método de autorización para PaymentPage y <a href=""%s"" target=""_blank"">contacta sellXed</a>.', 'http://www.sellxed.com/en/support"
"Customweb_UnzerCw::Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_UnzerCw::Please log in below:","Please log in below:"
"Customweb_UnzerCw::Please pay the amount of !amount using the following bank data:<br/><b>Descriptor:</b> !descriptor<br/><b>Account Holder:</b> !holder<br/><b>IBAN:</b> !iban<br/><b>BIC:</b> !bic<br/>","Please pay the amount of !amount using the following bank data:<br/><b>Descriptor:</b> !descriptor<br/><b>Account Holder:</b> !holder<br/><b>IBAN:</b> !iban<br/><b>BIC:</b> !bic<br/>"
"Customweb_UnzerCw::Please select","Por favor seleccione"
"Customweb_UnzerCw::Please select a shipping method before sending the order.","Please select a shipping method before sending the order."
"Customweb_UnzerCw::Please select the Bank Identifier Code (BIC) of your bank.","Por favor, seleccione el código de identificación bancaria (BIC) de su banco."
"Customweb_UnzerCw::Please select the day of your birth.","Por favor seleccione el día de su nacimiento."
"Customweb_UnzerCw::Please select the expiry month on your card.","Por favor seleccione el mes de la fecha de vencimiento de su tarjeta de crédito."
"Customweb_UnzerCw::Please select the expiry year on your card.","Por favor introduzca la fecha de caducidad de la tarjeta."
"Customweb_UnzerCw::Please select the month of your birth.","Por favor seleccione el mes de su nacimiento."
"Customweb_UnzerCw::Please select the the year of your birth.","Por favor, seleccione el año de tu nacimiento."
"Customweb_UnzerCw::Please wait, processing your order...","Please wait, processing your order..."
"Customweb_UnzerCw::Price","Precio"
"Customweb_UnzerCw::Private Key","Private Key"
"Customweb_UnzerCw::Private Key (Live)","Private Key (Live)"
"Customweb_UnzerCw::Private Key (Test)","Private Key (Test)"
"Customweb_UnzerCw::Private Key for live requests, provided by Unzer.","Private Key for live requests, provided by Unzer."
"Customweb_UnzerCw::Private Key for test requests, provided by Unzer.","Private Key for test requests, provided by Unzer."
"Customweb_UnzerCw::Processed partial cancel on authorize for amount @amount with id @id.","Processed partial cancel on authorize for amount @amount with id @id."
"Customweb_UnzerCw::Processing metadata failed","Processing metadata failed"
"Customweb_UnzerCw::Processing shipment failed","Processing shipment failed"
"Customweb_UnzerCw::Processing type failed","Processing type failed"
"Customweb_UnzerCw::Product","Producto"
"Customweb_UnzerCw::Product Name","Product Name"
"Customweb_UnzerCw::Public Key","Public Key"
"Customweb_UnzerCw::Public Key (Live)","Public Key (Live)"
"Customweb_UnzerCw::Public Key (Test)","Public Key (Test)"
"Customweb_UnzerCw::Public Key for live requests, provided by Unzer.","Public Key for live requests, provided by Unzer."
"Customweb_UnzerCw::Public Key for test requests, provided by Unzer.","Public Key for test requests, provided by Unzer."
"Customweb_UnzerCw::Purchase Point","Purchase Point"
"Customweb_UnzerCw::Qty","Cantidad"
"Customweb_UnzerCw::Recurring Payments","Recurring Payments"
"Customweb_UnzerCw::Refund Amount","Cantidad del reembolso"
"Customweb_UnzerCw::Refund ID","ID Reembolso"
"Customweb_UnzerCw::Refund amount","La cantidad del reembolso"
"Customweb_UnzerCw::Refund could not be completely processed, rest amount open: @amount","Refund could not be completely processed, rest amount open: @amount"
"Customweb_UnzerCw::Refund information","Informaciones del reembolso"
"Customweb_UnzerCw::Refund status","Estado de su reembolso"
"Customweb_UnzerCw::Refunded Amount","Importe reembolsado"
"Customweb_UnzerCw::Refunded amount (@refunded) does not equal canceled amount (@canceled). Please check in your Unzer backend.","Refunded amount (@refunded) does not equal canceled amount (@canceled). Please check in your Unzer backend."
"Customweb_UnzerCw::Refunds","Refunds"
"Customweb_UnzerCw::Register","Register"
"Customweb_UnzerCw::Register to Create an Account","Register to Create an Account"
"Customweb_UnzerCw::Register with us for future convenience:","Register with us for future convenience:"
"Customweb_UnzerCw::Release Date","Release Date"
"Customweb_UnzerCw::Request was succesfull, but no recurring alias could be created.","Request was succesfull, but no recurring alias could be created."
"Customweb_UnzerCw::Rest has been cancelled.","Rest has been cancelled."
"Customweb_UnzerCw::Review","Review"
"Customweb_UnzerCw::Rounding Adjustment","Rounding Adjustment"
"Customweb_UnzerCw::Row Total","Fila total"
"Customweb_UnzerCw::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_UnzerCw::SKU:","SKU:"
"Customweb_UnzerCw::Sales","Venta"
"Customweb_UnzerCw::Sales Tax Number","Número de Impuesto a las Ventas"
"Customweb_UnzerCw::Salutation","Salutation"
"Customweb_UnzerCw::Save","Guardar"
"Customweb_UnzerCw::Saved cards:","Tarjetas guardadas"
"Customweb_UnzerCw::See order and shipping status","See order and shipping status"
"Customweb_UnzerCw::Select Brand","Seleccione una marca"
"Customweb_UnzerCw::Select Method","Select Method"
"Customweb_UnzerCw::Select plan","Select plan"
"Customweb_UnzerCw::Select the authorization method to use for processing this payment method.","Selecciona el método de autorización para este método de pago."
"Customweb_UnzerCw::Select the date of your birth.","Seleccione la fecha de su nacimiento."
"Customweb_UnzerCw::Select the date on which your card expires.","Selecciona la fecha de vencimiento de la tarjeta"
"Customweb_UnzerCw::Sellxed On Hold","Sellxed En espera"
"Customweb_UnzerCw::Send Basket","Send Basket"
"Customweb_UnzerCw::Send Customer","Send Customer"
"Customweb_UnzerCw::Send Invoice Email","Send Invoice Email"
"Customweb_UnzerCw::Send amounts to Unzer in base currency.","Send amounts to Unzer in base currency."
"Customweb_UnzerCw::Send amounts to Unzer in store's base currency.","Send amounts to Unzer in store's base currency."
"Customweb_UnzerCw::Send invoice email","Send invoice email"
"Customweb_UnzerCw::Send the invoice email automatically after invoice creation.","Send the invoice email automatically after invoice creation."
"Customweb_UnzerCw::Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","En 'Contabilización directa' el montante está directamente contabilizado al cliente. En el caso 'Contabilización retrasado' el montant está contabilizado con un retraso definido por usted."
"Customweb_UnzerCw::Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Customweb_UnzerCw::Settlement after order","Creación después del pedido"
"Customweb_UnzerCw::Setup","Setup"
"Customweb_UnzerCw::Shipment created over @amount.","Shipment created over @amount."
"Customweb_UnzerCw::Shipment request has been processed.","Shipment request has been processed."
"Customweb_UnzerCw::Shipping & Handling","Envío y dirección"
"Customweb_UnzerCw::Shipping Address","Shipping Address"
"Customweb_UnzerCw::Shipping Amount","Cantidad del envío"
"Customweb_UnzerCw::Shipping Information","Información del envío"
"Customweb_UnzerCw::Shipping Method","Shipping Method"
"Customweb_UnzerCw::Shipping Methods","Shipping Methods"
"Customweb_UnzerCw::Shipping Refund","Reembolso para el envío"
"Customweb_UnzerCw::Shop","Shop"
"Customweb_UnzerCw::Short Installation Instructions:","Short Installation Instructions:"
"Customweb_UnzerCw::Should customer data be transmitted to Unzer? This slightly increases the processing time due to an additional request, but may allow e.g. saving the payment method to the customer.","Should customer data be transmitted to Unzer? This slightly increases the processing time due to an additional request, but may allow e.g. saving the payment method to the customer."
"Customweb_UnzerCw::Should the amount be captured automatically after the order (Direct Charge) or should the amount only be reserved (Authorize)?","Should the amount be captured automatically after the order (Direct Charge) or should the amount only be reserved (Authorize)?"
"Customweb_UnzerCw::Should the amount be captured automatically after the order (Direkte Belastung) or should the amount only be reserved (Authorize)?","Should the amount be captured automatically after the order (Direkte Belastung) or should the amount only be reserved (Authorize)?"
"Customweb_UnzerCw::Should the invoice items be transmitted to Unzer? This slightly increases the processing time due to an additional request, and may cause issues for certain quantity / price combinations.","Should the invoice items be transmitted to Unzer? This slightly increases the processing time due to an additional request, and may cause issues for certain quantity / price combinations."
"Customweb_UnzerCw::Show","Show"
"Customweb_UnzerCw::Show Account Selection","Show Account Selection"
"Customweb_UnzerCw::Show Further Settings and Information","Mostrar más ajustes e información."
"Customweb_UnzerCw::Show Image","Show Image"
"Customweb_UnzerCw::Show Payment Id","Show Payment Id"
"Customweb_UnzerCw::Show the payment id","Show the payment id"
"Customweb_UnzerCw::Show the payment id in the order information","Show the payment id in the order information"
"Customweb_UnzerCw::Show the payment image","Show the payment image"
"Customweb_UnzerCw::Show the payment image on the checkout page","Show the payment image on the checkout page"
"Customweb_UnzerCw::Sign In","Sign In"
"Customweb_UnzerCw::Social Security Number","Número de Seguro Social"
"Customweb_UnzerCw::Sort Order","Modificar orden"
"Customweb_UnzerCw::Status","Estado"
"Customweb_UnzerCw::Store the payment details","Store the payment details"
"Customweb_UnzerCw::Stored payment details","Stored payment details"
"Customweb_UnzerCw::Submit Order","Submit Order"
"Customweb_UnzerCw::Submitting order information...","Submitting order information..."
"Customweb_UnzerCw::Subtotal","Total parcial"
"Customweb_UnzerCw::Success","Exito"
"Customweb_UnzerCw::Successful","Con éxito"
"Customweb_UnzerCw::Successful online refund of amount","Reembolso exitosa línea de cantidad"
"Customweb_UnzerCw::Successful payment authorization.","Autorización de pago con éxito."
"Customweb_UnzerCw::Successfull online refund of amount","Reembolso del montante con éxito"
"Customweb_UnzerCw::Support","Support"
"Customweb_UnzerCw::Tax Amount","Total de impuestos"
"Customweb_UnzerCw::Technical issue: This payment methods is not available at the moment.","Problema técnico: Esta forma de pago no está disponible actualmente."
"Customweb_UnzerCw::Test","Test"
"Customweb_UnzerCw::Test Mode","Test Mode"
"Customweb_UnzerCw::Test Transaction","Test Transaction"
"Customweb_UnzerCw::The HMAC key as defined in the live backoffice of Unzer. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of Unzer. You may need generate the HMAC key. Please take a look at the manual how to do this."
"Customweb_UnzerCw::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","El esquema de mandato SEPA no contiene la etiqueta '!tag'. Se requiere esta etiqueta."
"Customweb_UnzerCw::The alias could not be found.","The alias could not be found."
"Customweb_UnzerCw::The alias has been deleted.","El alias se ha eliminado."
"Customweb_UnzerCw::The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"Customweb_UnzerCw::The amount could not be verified.","The amount could not be verified."
"Customweb_UnzerCw::The amount of !amount is authorized.","La cantidad de cada !amount está autorizado."
"Customweb_UnzerCw::The amount of !amount is captured.","La cantidad de cada  !amount es capturado."
"Customweb_UnzerCw::The authorization method '!method' is not supported.","El método de autorización '!method' no es compatible."
"Customweb_UnzerCw::The authorization was not successful","The authorization was not successful"
"Customweb_UnzerCw::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"Customweb_UnzerCw::The brand with external name '!key' was not present in the map.","La marca con la tecla '!key' no se encontró en el mapa información de la tarjeta."
"Customweb_UnzerCw::The brand with key '!key' was not found in the card information map.","La marca con la tecla !key' no se encontró en el mapa información de la tarjeta."
"Customweb_UnzerCw::The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"Customweb_UnzerCw::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","La cantidad de captura (!captureAmount) no puede ser mayor que el monto autorizado (!authorizedAmount)."
"Customweb_UnzerCw::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_UnzerCw::The capture item with SKU '@sku' is not present in the original order.","The capture item with SKU '@sku' is not present in the original order."
"Customweb_UnzerCw::The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"Customweb_UnzerCw::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?"
"Customweb_UnzerCw::The configuration has been saved.","La configuración se ha guardado."
"Customweb_UnzerCw::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output."
"Customweb_UnzerCw::The customer does not finish the payment with in the timeout.","The customer does not finish the payment with in the timeout."
"Customweb_UnzerCw::The date of birth is required.","The date of birth is required."
"Customweb_UnzerCw::The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","El formato esperado es '!format' donde el 'MM' significa el número del mes y 'YY' el número de años."
"Customweb_UnzerCw::The gender is required.","The gender is required."
"Customweb_UnzerCw::The given CVC code has the wrong length.","El código CVC dado tiene una longitud incorrecta."
"Customweb_UnzerCw::The given card number has an invalid check sum.","El número de tarjeta dada tiene una suma de comprobación no válida."
"Customweb_UnzerCw::The given card number has an invalid length.","El número de tarjeta dada tiene una longitud no válida."
"Customweb_UnzerCw::The given hmac key is empty.","The given hmac key is empty."
"Customweb_UnzerCw::The given identifier is empty.","The given identifier is empty."
"Customweb_UnzerCw::The given password is empty.","The given password is empty."
"Customweb_UnzerCw::The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"Customweb_UnzerCw::The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"Customweb_UnzerCw::The given site number is empty.","The given site number is empty."
"Customweb_UnzerCw::The identifier as defined in the backoffice of Unzer.","The identifier as defined in the backoffice of Unzer."
"Customweb_UnzerCw::The interest rate in percent that you enter here will be applied onto the instalment. The rate must be above the amount that you have agreed up on with Unzer.","The interest rate in percent that you enter here will be applied onto the instalment. The rate must be above the amount that you have agreed up on with Unzer."
"Customweb_UnzerCw::The invoice could not be captured and processed by","La cuenta no se ha podido contabilizar i procesar de Unzer."
"Customweb_UnzerCw::The invoice could not be captured and processed. Reason:","La factura no puede ser capturado y procesado. Motivo:"
"Customweb_UnzerCw::The invoice could not be found.","La factura no se pudo encontrar."
"Customweb_UnzerCw::The invoice has been changed.","La factura se ha cambiado."
"Customweb_UnzerCw::The invoice no longer exists.","La factura ya no existe."
"Customweb_UnzerCw::The layout does not contain the tag '!layout_tag'.","La disposición no contiene la etiqueta '!layout_tag'."
"Customweb_UnzerCw::The next update execution date indicates when the next cron is run to update the transaction state.","The next update execution date indicates when the next cron is run to update the transaction state."
"Customweb_UnzerCw::The order is not fully completed. Please contact the store owner.","The order is not fully completed. Please contact the store owner."
"Customweb_UnzerCw::The payment form will be displayed after submitting the order.","The payment form will be displayed after submitting the order."
"Customweb_UnzerCw::The payment has been accepted.","The payment has been accepted."
"Customweb_UnzerCw::The payment has been denied.","The payment has been denied."
"Customweb_UnzerCw::The payment method !paymentMethodName does not support the currency '!currency'.","La forma de pago! PaymentMethodName no soporta la moneda '!currency'."
"Customweb_UnzerCw::The payment method !paymentMethodName is not available in your country ('!country').","La forma de pago! PaymentMethodName no está disponible en tu país ('!country')."
"Customweb_UnzerCw::The payment update has been made.","The payment update has been made."
"Customweb_UnzerCw::The provided signature does not match with the one calculated.","The provided signature does not match with the one calculated."
"Customweb_UnzerCw::The rang (PBX_RANG) as defined in the live backoffice of Unzer. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of Unzer. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"Customweb_UnzerCw::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_UnzerCw::The refund item with SKU '@sku' is not present in the original order.","The refund item with SKU '@sku' is not present in the original order."
"Customweb_UnzerCw::The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"Customweb_UnzerCw::The shopping cart has been altered!","The shopping cart has been altered!"
"Customweb_UnzerCw::The signature could not be verified.","The signature could not be verified."
"Customweb_UnzerCw::The site id (PBX_RANG) as defined in the backoffice of Unzer.","The site id (PBX_RANG) as defined in the backoffice of Unzer."
"Customweb_UnzerCw::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","La cantidad del reembolso total de (!totalRefundedAmount) no puede ser mayor que la cantidad capturada (!capturedAmount)."
"Customweb_UnzerCw::The transaction cannot be cancelled online.","The transaction cannot be cancelled online."
"Customweb_UnzerCw::The transaction cannot be captured online.","The transaction cannot be captured online."
"Customweb_UnzerCw::The transaction cannot be refunded online.","The transaction cannot be refunded online."
"Customweb_UnzerCw::The transaction failed for an unknown reason.","The transaction failed for an unknown reason."
"Customweb_UnzerCw::The transaction failed for an unkown reason.","The transaction failed for an unkown reason."
"Customweb_UnzerCw::The transaction failed with error code !code.","The transaction failed with error code !code."
"Customweb_UnzerCw::The transaction is only executed in the test system. The goods should not be delivered.","The transaction is only executed in the test system. The goods should not be delivered."
"Customweb_UnzerCw::The transaction is pending.","The transaction is pending."
"Customweb_UnzerCw::The transaction was cancelled.","The transaction was cancelled."
"Customweb_UnzerCw::The uncertain transaction was accepted.","La transacción no garantizada fue aceptada."
"Customweb_UnzerCw::The uncertain transaction was finally declined.","La transacción no garantizada fue finalmente rechazada."
"Customweb_UnzerCw::The value for '@label' must be set in the configuration.","The value for '@label' must be set in the configuration."
"Customweb_UnzerCw::The whole transaction is cancelled.","Toda la operación fue cancelada."
"Customweb_UnzerCw::There has been a problem during the processing of your payment.","There has been a problem during the processing of your payment."
"Customweb_UnzerCw::There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Ha habido un problema durante el procesamiento de su pago. Por favor, póngase en contacto con el dueño de la tienda para asegurarse de que su pedido se ha realizado con éxito."
"Customweb_UnzerCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1"
"Customweb_UnzerCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s"
"Customweb_UnzerCw::There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"Customweb_UnzerCw::There seems to be a problem with the Unzer module.","Parece que hay un problema con el módulo de Unzer."
"Customweb_UnzerCw::There was an error validating the login and password.","There was an error validating the login and password."
"Customweb_UnzerCw::This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email."
"Customweb_UnzerCw::This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed.","This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed."
"Customweb_UnzerCw::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Unzer account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Unzer account."
"Customweb_UnzerCw::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"Customweb_UnzerCw::This status is set, when the payment was successfull and it is authorized.","This status is set, when the payment was successfull and it is authorized."
"Customweb_UnzerCw::This transaction is already closed for further captures.","Esta transacción ya está cerrada para otras contabilizaciones"
"Customweb_UnzerCw::This transaction is already closed for further refunds.","Esta operación se ha cerrado por más créditos."
"Customweb_UnzerCw::This transaction no longer exists.","This transaction no longer exists."
"Customweb_UnzerCw::Timeout for pending payments (min)","Timeout para los pagos pendientes (min)"
"Customweb_UnzerCw::Titel","Titulo"
"Customweb_UnzerCw::Title","Title"
"Customweb_UnzerCw::Title of the payment method","Nombre de la forma de pago"
"Customweb_UnzerCw::Total","Total"
"Customweb_UnzerCw::Total Shipping Charges","Total de gastos de envío"
"Customweb_UnzerCw::Track order history","Track order history"
"Customweb_UnzerCw::Transaction","Transaction"
"Customweb_UnzerCw::Transaction Authorized","Transacción autorizada"
"Customweb_UnzerCw::Transaction Cancelled","Transacción cancelada"
"Customweb_UnzerCw::Transaction Captured","Transacción contabilizada"
"Customweb_UnzerCw::Transaction History","Transaction History"
"Customweb_UnzerCw::Transaction Id","Transaction Id"
"Customweb_UnzerCw::Transaction Paid","Transacción pagado"
"Customweb_UnzerCw::Transaction Uncertain","Transacción es incierto"
"Customweb_UnzerCw::Transaction Updates","Transaction Updates"
"Customweb_UnzerCw::Transaction cancelled successfully","Transacción cancelada exitosamente"
"Customweb_UnzerCw::Transaction captured successfully","Transacción capturado con éxito"
"Customweb_UnzerCw::Transaction history","Resumen de transacciones"
"Customweb_UnzerCw::Transaction in state partial capture.","Transaction in state partial capture."
"Customweb_UnzerCw::Transaction is in state partial capture.","Transaction is in state partial capture."
"Customweb_UnzerCw::Transaction should be manually reviewed due to a received chargeback.","Transaction should be manually reviewed due to a received chargeback."
"Customweb_UnzerCw::Transaction should be manually reviewed.","Transaction should be manually reviewed."
"Customweb_UnzerCw::Transaction was authorized over the deferred authorization mechanism.","Operación fue autorizada por el mecanismo de autorización diferido."
"Customweb_UnzerCw::Transaction was authorized, but is already failed in store.","Transaction was authorized, but is already failed in store."
"Customweb_UnzerCw::Transaction was cancelled or refunded, but status change cannot be reflected in store.","Transaction was cancelled or refunded, but status change cannot be reflected in store."
"Customweb_UnzerCw::Transaction was cancelled, but is already authorized in store.","Transaction was cancelled, but is already authorized in store."
"Customweb_UnzerCw::Transaction was captured in Unzer, but cannot be captured in store.","Transaction was captured in Unzer, but cannot be captured in store."
"Customweb_UnzerCw::Transactions","Transactions"
"Customweb_UnzerCw::Unable to process form data: '@inner'.","Unable to process form data: '@inner'."
"Customweb_UnzerCw::Unable to save the invoice.","No se puede guardar la factura."
"Customweb_UnzerCw::Uncertain Status","Uncertain Status"
"Customweb_UnzerCw::Uncertain transactions","Transacción está incierta"
"Customweb_UnzerCw::Unfortunately you cannot continue.","Unfortunately you cannot continue."
"Customweb_UnzerCw::Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures."
"Customweb_UnzerCw::Update","Actualización"
"Customweb_UnzerCw::Update Qty's","Actualización de la cantidad"
"Customweb_UnzerCw::Update interval for payments","Interval de actualisación para pagos"
"Customweb_UnzerCw::Use Base Currency","Use Base Currency"
"Customweb_UnzerCw::Use Default","Utilice la configuración estándar."
"Customweb_UnzerCw::Use base currency","Use base currency"
"Customweb_UnzerCw::VISA","VISA"
"Customweb_UnzerCw::Validation","Validación"
"Customweb_UnzerCw::Value for '@name' must be set.","Value for '@name' must be set."
"Customweb_UnzerCw::Version","Version"
"Customweb_UnzerCw::View","View"
"Customweb_UnzerCw::Wait On Success Page","Wait On Success Page"
"Customweb_UnzerCw::We cannot get the transaction instance.","We cannot get the transaction instance."
"Customweb_UnzerCw::We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Hemos experimentado un problema con su extensión de pago sellxed. Para obtener más información, visite la página de configuración del plugin."
